Sno,Candidate,Constituency,Party,Criminal Cases,Education,Assets,Liabilities
121,Jaladhar Mahato,BALARAMPUR,BJP,0,12th Pass,"Rs 33,66,000 ~ 33 Lacs+","Rs 22,00,000 ~ 22 Lacs+"
122,Jeber Sekh,CHAPRA,AITC,1,8th Pass,"Rs 48,23,915 ~ 48 Lacs+","Rs 7,16,772 ~ 7 Lacs+"
123,Jitendra Kumar Tewari,PANDABESWAR,BJP,4,Graduate Professional,"Rs 1,00,38,212 ~ 1 Crore+",Rs 0 ~
124,Joydeb Halder S/O - Kartick Chandra Halder,MANDIRBAZAR (SC),AITC,0,10th Pass,"Rs 41,49,459 ~ 41 Lacs+",Rs 0 ~
125,Joyel Murmu,HABIBPUR (ST),BJP,1,8th Pass,"Rs 85,67,312 ~ 85 Lacs+",Rs 0 ~
126,Julfikar Ali,RANINAGAR,INC,0,10th Pass,"Rs 18,82,92,606~ 18 Crore+.","Rs 4,78,02,722~ 4 Crore+."
127,Kalita Maji,AUSGRAM (SC),BJP,2,Literate,"Rs 4,90,309 ~ 4 Lacs+",Rs 0 ~
128,Kalyan Chakraborti,KHARDAHA,BJP,0,Doctorate,"Rs 2,63,11,299 ~ 2 Crore+","Rs 66,70,152 ~ 66 Lacs+"
129,Kamala Kanta Hansda,KASHIPUR,BJP,0,Post Graduate,"Rs 64,62,974 ~ 64 Lacs+","Rs 10,50,000 ~ 10 Lacs+"
130,Karfa Soumen,BHATAR,BJP,6,Post Graduate,"Rs 2,60,87,473 ~ 2 Crore+","Rs 3,58,50,581 ~ 3 Crore+"
131,Kaustuv Bagchi,BARRACKPUR,BJP,12,Post Graduate,"Rs 1,92,18,773 ~ 1 Crore+",Rs 0 ~
132,Khanra Nirmal,NANDAKUMAR,BJP,2,Post Graduate,"Rs 1,80,17,800 ~ 1 Crore+","Rs 16,72,000 ~ 16 Lacs+"
133,Koushik Chowdhury,RAIGANJ,BJP,0,Graduate,"Rs 31,847 ~ 31 Thou+",Rs 0 ~
134,Krishna Ghosh,KATWA,BJP,5,8th Pass,"Rs 26,96,281 ~ 26 Lacs+",Rs 0 ~
135,Krishna Kanta Saha,SAINTHIA (SC),BJP,2,Graduate,"Rs 1,72,80,367 ~ 1 Crore+.","Rs 37,31,434 ~ 37 Lacs+."
136,Krishnendu Mukherjee,ASANSOL UTTAR,BJP,18,Graduate,"Rs 8,09,42,040 ~ 8 Crore+","Rs 3,89,82,696 ~ 3 Crore+"
137,Kshetramohan Hansda,RAIPUR (ST),BJP,1,8th Pass,"Rs 16,76,817 ~ 16 Lacs+","Rs 43,035 ~ 43 Thou+"
138,Kshudiram Tudu,RANIBANDH (ST),BJP,0,Graduate,"Rs 23,21,699 ~ 23 Lacs+","Rs 69,950 ~ 69 Thou+"
139,Kunal Kumar Ghosh,BELEGHATA,AITC,10,Others,"Rs 4,12,65,007 ~ 4 Crore+",Rs 0 ~
140,Labsen Baskey,BANDWAN (ST),BJP,1,12th Pass,"Rs 9,08,385 ~ 9 Lacs+","Rs 14,82,114 ~ 14 Lacs+"
141,Lakshman Chandra Ghorui,DURGAPUR PASCHIM,BJP,12,12th Pass,"Rs 2,44,15,439 ~ 2 Crore+","Rs 32,68,904 ~ 32 Lacs+"
142,Lakshmi Kanta Majumdar,KATULPUR (SC),BJP,1,Graduate Professional,"Rs 54,19,909 ~ 54 Lacs+",Rs 0 ~
143,Lakshmi Kanta Sau,JHARGRAM,BJP,2,Graduate,"Rs 9,06,72,518 ~ 9 Crore+","Rs 3,53,49,888 ~ 3 Crore+"
144,Laxuman Limbu,MADARIHAT (ST),BJP,1,10th Pass,"Rs 17,97,088 ~ 17 Lacs+.",Rs 0 ~
145,Madan Mitra,KAMARHATI,AITC,6,Graduate,"Rs 3,52,51,312 ~ 3 Crore+","Rs 24,99,837 ~ 24 Lacs+"
146,Madhumita Ghosh,HARIPAL,BJP,2,12th Pass,"Rs 1,13,47,728 ~ 1 Crore+",Rs 0 ~
147,Malati Rava Roy,TUFANGANJ,BJP,12,Graduate,"Rs 1,07,57,668 ~ 1 Crore+","Rs 1,17,806 ~ 1 Lacs+"
148,Mamoni Bauri,RAGHUNATHPUR (SC),BJP,0,5th Pass,"Rs 6,96,806 ~ 6 Lacs+","Rs 44,150 ~ 44 Thou+"
149,Manab Guha,MEMARI,BJP,3,Graduate,"Rs 2,24,32,823 ~ 2 Crore+","Rs 27,00,000 ~ 27 Lacs+"
150,Manoj Kumar Oraon,KUMARGRAM (ST),BJP,2,Graduate Professional,"Rs 57,06,289 ~ 57 Lacs+",Rs 0 ~
151,Mayna Murmu,MANBAZAR (ST),BJP,0,12th Pass,"Rs 7,75,564 ~ 7 Lacs+",Rs 0 ~
152,Md Baharul Islam,CANNING PURBA,AITC,4,Graduate,"Rs 1,86,68,941 ~ 1 Crore+","Rs 6,68,265 ~ 6 Lacs+"
153,Md Ghulam Rabbani,GOALPOKHAR,AITC,1,Post Graduate,"Rs 3,14,64,095~ 3 Crore+.","Rs 91,67,678~ 91 Lacs+."
154,Md Nawsad Siddique,BHANGAR,All India Secular Front,16,Post Graduate,"Rs 55,69,232 ~ 55 Lacs+",Rs 0 ~
155,Md. Matibur Rahaman,HARISCHANDRAPUR,AITC,2,8th Pass,"Rs 25,68,19,938 ~ 25 Crore+","Rs 2,72,82,547 ~ 2 Crore+"
156,Md. Mostafijur Rahaman,DOMKAL,CPI(M),2,Post Graduate,"Rs 3,52,14,800 ~ 3 Crore+",Rs 0 ~
157,Md. Samim Ahamed Molla,MAGRAHAT PASCHIM,AITC,1,Post Graduate,"Rs 34,13,257 ~ 34 Lacs+",Rs 0 ~
158,Md. Tauseffur Rahman,BASIRHAT UTTAR,AITC,0,5th Pass,"Rs 20,24,212 ~ 20 Lacs+",Rs 0 ~
159,Mitali Mal,KHARGRAM (SC),BJP,0,Graduate,"Rs 12,43,059 ~ 12 Lacs+",Rs 0 ~
160,Mohammad Kasem Siddique,AMDANGA,AITC,1,Post Graduate,"Rs 69,94,144 ~ 69 Lacs+","Rs 10,30,500 ~ 10 Lacs+"
161,Mohammed Noor Alam,SAMSERGANJ,AITC,0,12th Pass,"Rs 22,23,21,497 ~ 22 Crore+","Rs 1,68,33,659 ~ 1 Crore+"
162,Mosaraf Hussen,ITAHAR,AITC,1,12th Pass,"Rs 5,15,65,457~ 5 Crore+.","Rs 76,13,811~ 76 Lacs+."
163,Motab Shaikh,FARAKKA,INC,0,8th Pass,"Rs 17,02,39,870 ~ 17 Crore+","Rs 13,59,27,098 ~ 13 Crore+"
164,Moumita Biswas Misra,BARDHAMAN DAKSHIN,BJP,5,Post Graduate,"Rs 4,63,66,124 ~ 4 Crore+","Rs 41,44,944 ~ 41 Lacs+"
165,Mustafijur Rahaman (Suman),BHARATPUR,AITC,3,10th Pass,"Rs 2,13,66,960 ~ 2 Crore+","Rs 25,35,924 ~ 25 Lacs+"
166,Nabin Chandra Bag,KHANDAGHOSH (SC),AITC,1,Post Graduate,"Rs 31,67,719 ~ 31 Lacs+",Rs 0 ~
